Node_1,Node_2,Edge_Betweenness_Centrality
Botanic Garden,Chambers St-WTC-Park Pl-Cortlandt,0.002205962118478245
Bleecker St,Broadway-Lafayette St,0.0021928589201654688
34 St-Penn Station,28 St,0.0021863072978427346
Clinton-Washington Avs,Franklin Av,0.002164821902774998
25 Av,Bay 50 St,0.0021639482460832685
15 St-Prospect Park,Fort Hamilton Pkwy,0.002143191102216302
Myrtle Av,Central Av,0.0021393401006127473
47-50 Sts-Rockefeller Ctr,5 Av-53 St,0.0021280122604045077
Livonia Av,Sutter Av,0.0021167354777528614
85 St-Forest Pkwy,Cypress Hills,0.00211538500506893
14 St,Chambers St-WTC-Park Pl-Cortlandt,0.002098632886361238
Botanic Garden,Chambers St-WTC-Park Pl,0.0020944913294997187
14 St-6 Av,Chambers St-WTC-Park Pl-Cortlandt,0.0020937416390957035
Grand Central-42 St,Bryant Pk-5 Av,0.002077351410659768
14 St,Chambers St-WTC-Park Pl,0.0020606349384341147
14 St-6 Av,Chambers St-WTC-Park Pl,0.0020589296271726833
Park Pl,Botanic Garden,0.0020259707301406855
104 St,121 St,0.0020208826220022573
Steinway St,Queens Plaza,0.001989771676586202
72 St,66 St-Lincoln Center,0.0019853952449128075
5 Av,Times Sq-42 St-42 St,0.001982836124071568
62 St,55 St,0.001957982133639046
45 St,53 St,0.0019575957004642408
Times Sq-42 St,34 St-Hudson Yards,0.0019572484194548944
Christopher St-Sheridan Sq,Houston St,0.0019349374595450466
72 St,81 St-Museum of Natural History,0.0019320003357366513
77 St,68 St-Hunter College,0.0019112236860146022
77 St,Bay Ridge Av,0.0019112236860146018
6 Av,8 Av,0.001886105159120788
Fulton St,Brooklyn Bridge-City Hall,0.001881757776884983
Morgan Av,Montrose Av,0.0018562665806419229
Cortlandt,Chambers St-WTC-Park Pl,0.0018306029313240743
Queensboro Plaza,Court Sq,0.0017997243735310324
103 St,110 St,0.001782167644811823
62 St,71 St,0.001774679400837792
Astor Pl,Broadway-Lafayette St-Bleecker St,0.0017651351977905842
Church Av,Parkside Av,0.0017581011163540446
116 St,Central Park North,0.0017540864584372593
Lorimer St,Hewes St,0.001741496991027464
14 St-Union Sq,14 St-6 Av,0.0017382582218795975
55 St,New Utrecht Av-62 St,0.00172634783063784
161 St-Yankee Stadium,155 St,0.0017106598915461874
18 Av,New Utrecht Av,0.0017011266340099687
Cathedral Pkwy,103 St,0.0016622365983373283
75 St-Elderts Ln,Cypress Hills,0.0016570984347035534
65 St,Northern Blvd,0.0016436047310156637
14 St-Union Sq,6 Av,0.001638904223590216
Borough Hall,Court St,0.0016240385543900538
Van Siclen Av,Shepherd Av,0.0016216186694029313
42 St-Bryant Pk,34 St-Herald Sq,0.0016197303647017714
Bushwick Av-Aberdeen St,Wilson Av,0.0016168648853291557
Wall St,Clark St,0.0015923664005288224
Wall St,Bowling Green,0.001592366400528821
23 St,14 St-Union Sq,0.0015880976529280208
Sutphin Blvd-Archer Av-JFK Airport,121 St,0.001542698483244138
Brighton Beach,Ocean Pkwy,0.0015422151681201595
Avenue I,Bay Pkwy,0.0015236864609945145
Bay Pkwy,20 Av,0.0015236864609945128
28 St,34 St-Herald Sq,0.0015214942629980422
Court Sq-23 St,Lexington Av-53 St,0.00149420016652965
Kingston Av,Crown Hts-Utica Av,0.0014890294214583914
Jamaica-Van Wyck,Briarwood,0.001474451182699093
Hoyt St,Court St-Borough Hall,0.0014675812495915446
14 St-8 Av,14 St-6 Av,0.0014641992696514256
New Lots Av,Livonia Av,0.0014575222772954715
Times Sq-42 St,49 St,0.001415238733649527
Avenue N,Avenue P,0.0014142543017346518
28 St,23 St,0.0013870148365076316
Burke Av,Allerton Av,0.0013822979837803998
14 St,W 4 St-Wash Sq,0.001352454581532105
Norwood Av,Cleveland St,0.0013186317235327205
W 4 St-Wash Sq,14 St-6 Av,0.001263283801332267
Times Sq-42 St,42 St-Port Authority Bus Terminal,0.0012584626381403102
Lafayette Av,Clinton-Washington Avs,0.0012557986229763949
Cortlandt,Brooklyn Bridge-City Hall-Chambers St,0.0012182133289029503
34 St-Herald Sq,Bryant Pk-5 Av,0.0012018439406757662
50 St,42 St-Port Authority Bus Terminal,0.0011645437694053418
New Utrecht Av,62 St,0.0011593748536757413
Park Place,Chambers St-WTC-Park Pl-Cortlandt,0.0011432156683299868
Park Place,Chambers St-WTC-Park Pl,0.0011366276078072154
Grand Central-42 St,51 St,0.0011273109730017042
8 St-NYU,Prince St,0.0011171609610519755
Nassau Av,Metropolitan Av,0.0011135966663485982
57 St-7 Av,49 St,0.001090518846590801
183 St,Burnside Av,0.0010737343926115416
28 St,33 St,0.0010507214420594892
Franklin Av,Park Pl,0.0010345844001401969
Kingston-Throop Avs,Utica Av,0.001011455032902754
Astor Pl,Bleecker St,0.0010073265331581615
5 Av,42 St-Bryant Pk,0.0009867883056654965
Park Place,Brooklyn Bridge-City Hall-Chambers St,0.0009634862343085277
Chambers St,Cortlandt,0.0009368631582662153
Times Sq-42 St-42 St,Bryant Pk-5 Av,0.0009350644592433242
23 St,34 St-Herald Sq,0.0009201531348130507
Cortlandt,Chambers St-WTC,0.0009056518465714692
Junction Blvd,74-Broadway,0.0009013354305894914
Borough Hall,Bowling Green,0.0008816788899471623
Clark St,Borough Hall,0.0008816788899471622
Metropolitan Av,Broadway,0.000875632550986762
34 St-Penn Station,23 St,0.000865569474816338
Brooklyn Bridge-City Hall,Chambers St-WTC-Park Pl,0.0008500024688192698
Brooklyn Bridge-City Hall,Chambers St-WTC-Park Pl-Cortlandt,0.0008497635236189621
Franklin St,Chambers St-WTC-Park Pl-Cortlandt,0.0008040295363860296
Franklin St,Chambers St-WTC-Park Pl,0.0008030737555847986
World Trade Center,Chambers St-WTC-Park Pl-Cortlandt,0.0007890783938524839
World Trade Center,Chambers St-WTC-Park Pl,0.0007848797853327903
Avenue U,Coney Island-Stillwell Av,0.0007731832236140417
Park Place,Chambers St-WTC,0.0007308465344578028
Chambers St,Park Place,0.000720142875598562
Times Sq-42 St,5 Av,0.0007164658169306523
18 St,14 St-6 Av,0.0006984190390700325
Christopher St-Sheridan Sq,14 St-6 Av,0.0006895883372832128
23 St,14 St,0.0006679472239489907
14 St-6 Av,Chambers St-WTC,0.0006590868547940649
14 St,Chambers St-WTC,0.0006331649763506781
25 St,45 St,0.0006317711096137213
Court Sq,21 St,0.0006280744868089598
14 St,6 Av,0.0006163398826860535
23 St,14 St-6 Av,0.0006158292416221223
18 St,14 St,0.0006153213384112435
Grand Army Plaza,Eastern Pkwy-Brooklyn Museum,0.0006079395779160306
2 Av,Delancey St-Essex St,0.0006046171277032819
Brooklyn Bridge-City Hall-Chambers St,Chambers St-WTC-Park Pl-Cortlandt,0.0005773621662932382
Brooklyn Bridge-City Hall-Chambers St,Chambers St-WTC-Park Pl,0.0005710239121162434
14 St,Christopher St-Sheridan Sq,0.0005709719057106953
Franklin St,Brooklyn Bridge-City Hall-Chambers St,0.000562161598566252
Court Sq,Hunters Point Av,0.0005607295506365052
World Trade Center,Brooklyn Bridge-City Hall-Chambers St,0.0005514716454381972
Spring St,Broadway-Lafayette St-Bleecker St,0.000534898088636221
Chambers St,Chambers St-WTC-Park Pl-Cortlandt,0.0005267927006767785
Chambers St,14 St-6 Av,0.0005193354072284036
Park Place,Fulton St,0.0005184743085457141
14 St,Chambers St,0.0005124008869809657
14 St,Brooklyn Bridge-City Hall-Chambers St,0.0005031045222560049
145 St,137 St-City College,0.0005005901946447601
85 St-Forest Pkwy,75 St-Elderts Ln,0.00047262328238384106
Franklin St,Chambers St-WTC,0.00046726688832974183
World Trade Center,Chambers St-WTC,0.00045060330519399296
Franklin St,Chambers St,0.000450410390562576
149 St-Grand Concourse,138 St-Grand Concourse,0.00044921697657859143
Rector St,WTC Cortlandt,0.0004410907360632902
Chambers St,World Trade Center,0.00043972043743452133
Brooklyn Bridge-City Hall,Chambers St-WTC,0.00043813577247191513
14 St-6 Av,Brooklyn Bridge-City Hall-Chambers St,0.00043415687389142114
Chambers St,Brooklyn Bridge-City Hall,0.0003975089021443357
Chambers St-WTC,Chambers St-WTC-Park Pl-Cortlandt,0.0003954294810339885
Times Sq-42 St,Bryant Pk-5 Av,0.0003838178821333184
Kew Gardens-Union Tpke,75 Av,0.0003556869981724105
Rector St,Cortlandt,0.0002860016101540119
City Hall,Cortlandt,0.0002673655171051116
23 St,18 St,0.0002460086763179709
E 149 St,E 143 St-St Mary's St,0.00024372410431391665
World Trade Center,Cortlandt,0.000215872826438789
46 St-Bliss St,52 St,0.00021194439267298437
82 St-Jackson Hts,74-Broadway,0.00020836021466836776
176 St,Mt Eden Av,0.0002012259936877505
Park Place,World Trade Center,0.0001944871979097698
61 St-Woodside,69 St,0.0001940235026499021
Aqueduct-N Conduit Av,Aqueduct Racetrack,0.0001863772562400539
61 St-Woodside,74-Broadway,0.00016487218821235539
69 St,74-Broadway,0.00016463324301204752
Fordham Rd,182-183 Sts,0.0001505354761938897
Brooklyn Bridge-City Hall-Chambers St,Chambers St-WTC,0.00011405183407669643
Park Place,Cortlandt,8.050145356420537e-05
Borough Hall,Hoyt St,7.467037509617542e-05
77 St,Bay Ridge-95 St,4.3010136055397054e-05
Gates Av,Kosciuszko St,2.1505068027698527e-05
Jamaica-179 St,169 St,1.4336712018465685e-05
